7078,D,5/26/17,1.13,1.150,1.110,1.110,8765,0
7078WA,D,5/26/17,0.65,0.655,0.620,0.630,6081,0
0537C8,D,5/26/17,0.38,0.38,0.38,0.38,0,0
0098,D,5/26/17,0.81,0.815,0.810,0.810,2562,0
7251,D,5/26/17,0.62,0.645,0.615,0.645,15207,0
7251LA,D,5/26/17,0.62,0.62,0.62,0.62,0,0
4162,D,5/26/17,45.34,45.340,44.820,45.040,326,0
4162CG,D,5/26/17,0.07,0.07,0.07,0.07,0,0
4162CH,D,5/26/17,0.15,0.15,0.15,0.15,0,0
4162CI,D,5/26/17,0.1,0.1,0.1,0.1,0,0
5248,D,5/26/17,2.06,2.070,2.030,2.040,12793,0
5248CQ,D,5/26/17,0.03,0.03,0.03,0.03,0,0
5248CR,D,5/26/17,0.07,0.07,0.07,0.07,0,0
6602,D,5/26/17,0.47,0.470,0.460,0.470,590,0
0187,D,5/26/17,0.215,0.220,0.210,0.210,10768,0
6173,D,5/26/17,0.685,0.685,0.685,0.685,1166,0
5190,D,5/26/17,0.5,0.505,0.485,0.485,26934,0
9814,D,5/26/17,0.49,0.49,0.49,0.49,0,0
8133,D,5/26/17,2.23,2.230,2.150,2.230,40,0
7241,D,5/26/17,0.38,0.380,0.375,0.380,25405,0
7241WA,D,5/26/17,0.12,0.125,0.120,0.125,6409,0
7005,D,5/26/17,0.48,0.520,0.470,0.480,1577,0
5258,D,5/26/17,4.5,4.500,4.450,4.490,715,0
5258CU,D,5/26/17,0.085,0.085,0.075,0.075,1435,0
5258WA,D,5/26/17,0.395,0.395,0.380,0.390,15746,0
6998,D,5/26/17,0.23,0.225,0.210,0.215,11483,0
6998WA,D,5/26/17,0.115,0.115,0.100,0.100,17697,0
0179,D,5/26/17,0.26,0.265,0.255,0.255,82798,0
0179WA,D,5/26/17,0.185,0.190,0.185,0.190,27962,0
7243,D,5/26/17,0.095,0.095,0.090,0.090,11378,0
5032,D,5/26/17,6.3,6.300,6.300,6.300,10,0
5275,D,5/26/17,2.380,2.420,2.380,2.390,611,0
3239,D,5/26/17,1.4,1.400,1.300,1.340,11935,0
3239WA,D,5/26/17,0.315,0.335,0.270,0.280,17258,0
3395,D,5/26/17,0.355,0.355,0.350,0.350,121754,0
3395C3,D,5/26/17,0.025,0.025,0.020,0.025,8360,0
3395LD,D,5/26/17,0.485,0.485,0.485,0.485,1000,0
3395LE,D,5/26/17,0.405,0.405,0.405,0.405,0,0
3395WB,D,5/26/17,0.115,0.110,0.110,0.110,4577,0
3395WC,D,5/26/17,0.13,0.130,0.125,0.125,30914,0
5196,D,5/26/17,1.58,1.590,1.570,1.570,3212,0
5196WA,D,5/26/17,0.95,0.95,0.95,0.95,0,0
4219,D,5/26/17,0.485,0.485,0.480,0.480,630,0
6025,D,5/26/17,0.385,0.380,0.380,0.380,5,0
1562,D,5/26/17,2.67,2.680,2.610,2.620,40281,0
1562CU,D,5/26/17,0.015,0.015,0.015,0.015,52,0
1899,D,5/26/17,18.64,18.64,18.64,18.64,0,0
7187,D,5/26/17,0.405,0.415,0.400,0.405,16507,0
7187WA,D,5/26/17,0.265,0.275,0.265,0.270,6306,0
5069,D,5/26/17,8.61,8.61,8.61,8.61,0,0
0168,D,5/26/17,0.995,1.020,0.995,0.995,8684,0
9288,D,5/26/17,0.655,0.650,0.620,0.620,31942,0
7036,D,5/26/17,0.13,0.130,0.125,0.130,197644,0
7036WB,D,5/26/17,0.055,0.055,0.050,0.055,7053,0
7036WC,D,5/26/17,0.06,0.060,0.060,0.060,2670,0
6297,D,5/26/17,1.75,1.75,1.75,1.75,0,0
6297WA,D,5/26/17,0.63,0.63,0.63,0.63,0,0
5254,D,5/26/17,1.66,1.680,1.650,1.670,17845,0
5254CA,D,5/26/17,0.050,0.050,0.050,0.050,2000,0
5100,D,5/26/17,1.46,1.480,1.400,1.410,3459,0
5932,D,5/26/17,0.425,0.430,0.420,0.420,2729,0
9474,D,5/26/17,0.685,0.690,0.665,0.665,6960,0
8761,D,5/26/17,0.92,0.930,0.915,0.915,1742,0
9938,D,5/26/17,0.335,0.325,0.320,0.320,1740,0
9938WB,D,5/26/17,0.07,0.070,0.070,0.070,2400,0
7221,D,5/26/17,0.525,0.535,0.525,0.535,416,0
2771,D,5/26/17,2.61,2.630,2.610,2.620,1159,0
2771CL,D,5/26/17,0.045,0.045,0.045,0.045,0,0
0011,D,5/26/17,0.385,0.375,0.375,0.375,540,0
7188,D,5/26/17,0.29,0.285,0.285,0.285,1330,0
7188WA,D,5/26/17,0.09,0.09,0.09,0.09,0,0
7188WB,D,5/26/17,0.185,0.165,0.155,0.155,115,0
1818,D,5/26/17,10.64,10.980,10.580,10.960,23508,0
181811,D,5/26/17,0.335,0.395,0.325,0.375,48199,0
7174,D,5/26/17,2.97,3.000,2.940,2.970,8781,0
7174WA,D,5/26/17,2.3,2.350,2.270,2.300,5244,0
0191,D,5/26/17,0.71,0.735,0.705,0.720,39411,0
7154,D,5/26/17,0.485,0.480,0.480,0.480,1400,0
7128,D,5/26/17,0.3,0.300,0.295,0.295,658,0
5105,D,5/26/17,3.46,3.460,3.380,3.430,2003,0
5229,D,5/26/17,0.025,0.025,0.020,0.025,103550,0
0163,D,5/26/17,0.3,0.300,0.295,0.295,4778,0
5257,D,5/26/17,0.315,0.310,0.305,0.305,1440,0
5245,D,5/26/17,1.83,1.830,1.810,1.810,190,0
2836,D,5/26/17,14.7,14.740,14.560,14.740,858,0
7076,D,5/26/17,2.14,2.160,2.100,2.110,7463,0
7076CD,D,5/26/17,0.11,0.120,0.110,0.110,9810,0
7076CE,D,5/26/17,0.08,0.080,0.070,0.075,5050,0
7076WA,D,5/26/17,0.445,0.450,0.420,0.420,1168,0
2925,D,5/26/17,2.460,2.480,2.460,2.480,80,0
7035,D,5/26/17,0.96,0.965,0.930,0.960,49583,0
2879,D,5/26/17,1.62,1.610,1.570,1.590,3726,0
7148,D,5/26/17,2.29,2.300,2.280,2.290,550,0
5195,D,5/26/17,0.375,0.370,0.355,0.360,29213,0
5195WA,D,5/26/17,0.055,0.055,0.045,0.050,12919,0
5195WB,D,5/26/17,0.175,0.180,0.170,0.170,25290,0
7117,D,5/26/17,1.32,1.320,1.270,1.290,28447,0
8982,D,5/26/17,0.87,0.880,0.860,0.870,3013,0
8435,D,5/26/17,1.6,1.6,1.6,1.6,0,0
8044,D,5/26/17,1.02,1.020,1.020,1.020,15,0
7209,D,5/26/17,0.460,0.470,0.460,0.460,1865,0
9423,D,5/26/17,1.45,1.490,1.400,1.490,3236,0
5738,D,5/26/17,1.3,1.3,1.3,1.3,0,0
5273,D,5/26/17,1.37,1.380,1.330,1.350,6995,0
1929,D,5/26/17,8.02,8.020,8.020,8.020,40,0
5007,D,5/26/17,1.8,1.790,1.750,1.750,20963,0
5797,D,5/26/17,2.27,2.300,2.220,2.230,7383,0
7016,D,5/26/17,0.575,0.575,0.530,0.550,2743,0
8052,D,5/26/17,1.0,0.990,0.990,0.990,80,0
2828,D,5/26/17,2.42,2.42,2.42,2.42,0,0
1023,D,5/26/17,6.32,6.400,6.290,6.350,264861,0
102314,D,5/26/17,0.235,0.240,0.225,0.230,2560,0
102315,D,5/26/17,0.16,0.16,0.16,0.16,0,0
102316,D,5/26/17,0.225,0.225,0.225,0.225,700,0
102317,D,5/26/17,0.395,0.395,0.395,0.395,0,0
102318,D,5/26/17,0.400,0.410,0.400,0.405,260,0
102320,D,5/26/17,0.285,0.285,0.285,0.285,0,0
102321,D,5/26/17,0.215,0.225,0.210,0.215,7662,0
102322,D,5/26/17,0.24,0.250,0.235,0.235,2410,0
0822EA,D,5/26/17,1.93,1.93,1.93,1.93,0,0
0823EA,D,5/26/17,1.49,1.49,1.49,1.49,0,0
053512,D,5/26/17,0.19,0.19,0.19,0.19,0,0
5234,D,5/26/17,0.72,0.72,0.72,0.72,0,0
7018,D,5/26/17,0.06,0.06,0.06,0.06,0,0
7018LA,D,5/26/17,0.035,0.035,0.035,0.035,0,0
5180,D,5/26/17,1.49,1.500,1.490,1.500,22240,0
2852,D,5/26/17,4.14,4.190,4.120,4.140,22146,0
2852C5,D,5/26/17,0.16,0.16,0.16,0.16,0,0
2852C6,D,5/26/17,0.125,0.120,0.115,0.115,1200,0
2852C7,D,5/26/17,0.15,0.15,0.15,0.15,0,0
7986,D,5/26/17,0.415,0.415,0.415,0.415,200,0
5104,D,5/26/17,0.08,0.080,0.080,0.080,1100,0
5188,D,5/26/17,0.04,0.040,0.040,0.040,4,0
5071,D,5/26/17,1.37,1.380,1.330,1.330,12303,0
7205,D,5/26/17,2.74,2.760,2.730,2.740,303,0
7195,D,5/26/17,0.99,1.000,0.950,0.970,13914,0
2127,D,5/26/17,0.725,0.730,0.720,0.725,11248,0
5136,D,5/26/17,1.03,1.040,0.990,1.030,8014,0
